University,Acronym,Established,Location,Division,Specialization,Type,Ph.D. granting,Website
Leading University,LU,2002,Sylhet,Sylhet Division,General,Private,No,https://www.lus.ac.bd
Northern University of Bangladesh,NUB,2002,Dhaka,Dhaka Division,General,Private,No,https://www.nub.ac.bd
Prime University,PU,2002,Dhaka,Dhaka Division,General,Private,No,https://www.puc.ac.bd
Southeast University,SEU,2002,Dhaka,Dhaka Division,General,Private,No,https://www.seu.edu.bd
Stamford University Bangladesh,SU,2002,Dhaka,Dhaka Division,General,Private,No,https://www.su.edu.bd
State University of Bangladesh,SUB,2002,Dhaka,Dhaka Division,General,Private,No,https://www.sub.ac.bd
"Eastern University, Bangladesh",EU,2003,Dhaka,Dhaka Division,General,Private,No,https://www.easternuni.edu.bd
Metropolitan University,MU,2003,Sylhet,Sylhet Division,General,Private,No,https://www.metrouni.edu.bd
Millennium University,MU,2003,Dhaka,Dhaka Division,General,Private,No,https://www.metrouni.edu.bd
Primeasia University,PAU,2003,Dhaka,Dhaka Division,General,Private,No,https://www.primeasia.edu.bd
Royal University of Dhaka,RUD,2003,Dhaka,Dhaka Division,General,Private,No,https://www.royal.edu.bd
United International University,UIU,2003,Dhaka,Dhaka Division,General,Private,No,https://www.uiu.ac.bd
University of Information Technology and Sciences,UITS,2003,Dhaka,Dhaka Division,General,Private,No,https://www.uits.edu.bd
"University of South Asia, Bangladesh",USAB,2003,Dhaka,Dhaka Division,General,Private,No,https://www.southasiauni.ac.bd
Uttara University,UU,2003,Dhaka,Dhaka Division,General,Private,No,https://www.uttarauniversity.edu.bd
Victoria University of Bangladesh,VUB,2003,Dhaka,Dhaka Division,General,Private,No,https://www.vub.edu.bd
World University of Bangladesh,WUB,2003,Dhaka,Dhaka Division,General,Private,No,https://www.wub.edu.bd
Asa University Bangladesh,ASAUB,2006,Dhaka,Dhaka Division,General,Private,No,https://www.asaub.edu.bd
Bangladesh Islami University,BIU,2006,Dhaka,Dhaka Division,General,Private,No,https://www.biu.ac.bd
East Delta University,EDU,2006,Chittagong,Chittagong Division,General,Private,No,https://www.eastdelta.edu.bd
Northern University of Business and Technology Khulna,NUB,2010,Khulna,Khulna Division,General,Private,No,https://www.nub.ac.bd
Britannia University,BU,2010,Comilla,Chittagong Division,General,Private,No,https://www.bu.ac.bd
Feni University,FU,2010,Feni,Chittagong Division,General,Private,No,https://www.feniuniversity.ac.bd
Khwaja Yunus Ali University,KYAU,2010,Sirajgonj,Rajshahi Division,General,Private,No,https://www.kyau.edu.bd
European University of Bangladesh,EUB,2012,Dhaka,Dhaka Division,General,Private,No,
First Capital University Of Bangladesh,FCUB,2012,Chuadanga,Khulna Division,General,Private,No,https://www.fcub.edu.bd
Hamdard University Bangladesh,HUB,2012,Dhaka,Dhaka Division,General,Private,No,https://www.hamdarduniversity.edu.bd
Ishakha International University,IIUB,2012,Kishoreganj,Dhaka Division,General,Private,No,https://www.ishakha.edu.bd
North East University Bangladesh,NEUB,2012,Sylhet,Sylhet Division,General,Private,No,https://www.neub.edu.bd
"North Western University, Bangladesh",NWU,2012,Khulna,Khulna Division,General,Private,No,https://www.nwu.ac.bd
Port City International University,PCIU,2012,Chittagong,Chittagong Division,General,Private,No,https://www.portcity.edu.bd
Varendra University,VU,2012,Rajshahi,Rajshahi Division,General,Private,No,https://www.vu.edu.bd
Sonargaon University,SU,2012,Dhaka,Dhaka Division,General,Private,No,https://www.su.edu.bd
Cox's Bazar International University,CBIU,2013,Cox's Bazar,Chittagong Division,General,Private,No,https://www.cbiu.ac.bd
Fareast International University,FIU,2013,Dhaka,Dhaka Division,General,Private,No,https://www.fiu.edu.bd
German University Bangladesh,GUB,2013,Gazipur,Dhaka Division,General,Private,No,https://www.gub.edu.bd
North Bengal International University,NBIU,2013,Rajshahi,Rajshahi Division,General,Private,No,https://www.nbiu.edu.bd
Notre Dame University Bangladesh,NDUB,2013,Dhaka,Dhaka Division,General,Private,No,https://www.ndub.edu.bd
Ranada Prasad Shaha University,RPSU,2013,Narayanganj,Dhaka Division,General,Private,No,https://www.rpsu.edu.bd
Sheikh Fazilatunnesa Mujib University,SFMMU,2013,Jamalpur,Mymensingh Division,General,Private,No,
Times University Bangladesh,TMUB,2013,Faridpur,Dhaka Division,General,Private,No,https://www.timesuniversitybd.com
Canadian University of Bangladesh,CUST,2015,Dhaka,Dhaka Division,General,Private,No,https://www.cust.edu.bd
Global University Bangladesh,GUB,2015,Barisal,Barisal Division,General,Private,No,https://www.gub.edu.bd
NPI University of Bangladesh,NPIUB,2015,Manikganj,Dhaka Division,General,Private,No,https://www.npiub.edu.bd
Rabindra Maitree University,RMU,2015,Kushtia,Khulna Division,General,Private,No,https://www.rmu.ac.bd
The International University of Scholars,IUS,2015,Dhaka,Dhaka Division,General,Private,No,https://www.ius.edu.bd
University of Creative Technology Chittagong,UCTC,2015,Chittagong,Chittagong Division,General,Private,No,https://www.uctc.edu.bd
Anwer Khan Modern University,AKMU,2016,Dhaka,Dhaka Division,General,Private,No,https://www.akmu.edu.bd
University of Global Village,UIGV,2016,Barisal,Barisal Division,General,Private,No,https://www.ugv.edu.bd
"Trust University, Barishal",TU,2018,Barisal,Barisal Division,General,Private,No,https://www.trustuniversity.edu.bd
University of Brahmanbaria,UOB,2018,Brahamanbaria,Comilla Division,General,Private,No,https://www.uob.edu.bd
University of Skill Enrichment and Technology,USET,2018,Narayanganj,Dhaka Division,General,Private,No,
International Standard University,ISU,2018,Dhaka,Dhaka Division,General,Private,No,https://www.isu.ac.bd
ZNRF University of Management Sciences,ZUMS,2018,Dhaka,Dhaka Division,General,Private,No,https://www.zums.edu.bd
Bandarban University,BU,2019,Bandarban,Chittagong Division,General,Private,No,https://www.bu.ac.bd
RTM Al-Kabir Technical University,RTM-AKTU,2020,Sylhet,Sylhet Division,General,Private,No,https://www.rtm-aktu.edu.bd
University of Science & Technology Chittagong,USTC,1992,Chittagong,Chittagong Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.ustc.edu.bd
Ahsanullah University of Science and Technology,AUST,1995,Dhaka,Dhaka Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.aust.edu
Pundra University of Science and Technology,PUST,2001,Bogra,Rajshahi Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.pust.edu.bd
Bangladesh University of Business and Technology,BUBT,2003,Dhaka,Dhaka Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.bubt.edu.bd
Presidency University,PU,2003,Dhaka,Dhaka Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.puc.ac.bd
Atish Dipankar University of Science and Technology,ADUST,2004,Dhaka,Dhaka Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.adust.edu.bd
ZH Sikder University of Science & Technology,ZHSUST,2012,Shariatpur,Dhaka Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.zhsust.edu.bd
Rajshahi Science & Technology University,RSTU,2013,Natore,Rajshahi Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.rstu.edu.bd
Bangladesh Army International University of Science & Technology,BAIUST,2015,Comilla,Chittagong Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.baiust.ac.bd
Bangladesh Army University of Science and Technology,BAUST,2015,Saidpur,Rangpur Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.baust.edu.bd
CCN University of Science & Technology,CCNUST,2015,Comilla,Chittagong Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.ccnust.ac.bd
Central University of Science and Technology,CUST,2016,Dhaka,Dhaka Division,"Science , Technology,Engineering and Mathematics ",Private,No,https://www.cust.edu.bd
Central Women's University,CWU,1993,Dhaka,Dhaka Division,Women's studies,Private,No,https://www.cwu.edu.bd
Shanto-Mariam University of Creative Technology,SMUCT,2003,Dhaka,Dhaka Division,Creative technology,Private,No,https://www.smuct.ac.bd
University of Liberal Arts Bangladesh,ULAB,2004,Dhaka,Dhaka Division,Media studies and journalism,Private,No,https://www.ulab.edu.bd
Bangladesh University of Health Sciences,BUHS,2012,Dhaka,Dhaka Division,Health Sciences,Private,No,https://www.buhs.ac.bd
Exim Bank Agricultural University Bangladesh,EBAUB,2013,Chapainawabganj,Rajshahi Division,Agricultural Science,Private,No,
Bangladesh Army University of Engineering & Technology,BAUET,2015,Natore,Rajshahi Division,Engineering and Technology,Private,No,https://www.bauet.ac.bd
Tagore University of Creative Arts,TUCA,2016,Dhaka,Dhaka Division,Creative,Private,No,https://www.tuca.edu.bd
Islamic University of Technology,IUT,1978,Gazipur,Gazipur Division,Engineering and Technology (Muslim students only),Private,Yes,https://www.iutoic-dhaka.edu
Asian University for Women,AUW,2008,Chittagong,Chittagong division,(Female students only),Private,No,https://www.auw.edu.bd
